latitude,longitude,TaskID,clientName,Status,Team
24.444721,39.68096529,85090874,,S-STCKR,waqas
24.5300127,39.6468457,85071839,,S-STCKR,shakel
24.51928046,39.67667979,61402665,,S-STCKR,shakel
24.44162728,39.67158003,61299634,,S-STCKR,waqas
24.44425451,39.62519496,61509639,,S-STCKR,waqas
24.4541847,39.67626604,61368618,,S-STCKR,waqas
24.44135009,39.66646297,61299415,,S-STCKR,waqas
24.53911523,39.68806811,61179387,,S-STCKR,shakel
24.44043487,39.67952635,61257592,,S-STCKR,waqas
24.44660417,39.68083474,61257639,,S-STCKR,waqas
24.453187,39.630165,61500830,,S-STCKR,waqas
24.52673402,39.64850016,61272258,,S-STCKR,shakel
24.44298919,39.63751023,61455951,,S-STCKR,waqas
24.47281876,39.6264286,64146489,,S-STCKR,shakel
24.46208369,39.61946966,61509287,,S-STCKR,waqas
24.44057525,39.68362906,61257507,,S-STCKR,waqas
24.47013912,39.62934606,61259837,,S-STCKR,shakel
24.53276918,39.67804721,61407024,,S-STCKR,shakel
24.45796277,39.66798423,61373971,,S-STCKR,waqas
24.51377182,39.66533062,84947948,,S-STCKR,shakel
24.46665084,39.63192505,61504421,,S-STCKR,waqas
24.44063883,39.67420753,61299707,,S-STCKR,waqas
24.45026788,39.68115667,61456110,,S-STCKR,waqas
24.45901422,39.62133941,61500991,,S-STCKR,waqas
24.46194969,39.61314559,61497153,,S-STCKR,waqas
24.44901837,39.62905227,61690787,,S-STCKR,waqas
24.43957525,39.67133243,61409173,,S-STCKR,waqas
24.44583045,39.68220894,61274551,,S-STCKR,waqas
24.44537931,39.68040057,61274539,,S-STCKR,waqas
24.4359499,39.6770815,85443497,,S-STCKR,waqas
24.45027374,39.67869642,61257593,,S-STCKR,waqas
24.52717344,39.64782087,61262878,,S-STCKR,shakel
24.52848048,39.67249231,61262745,,S-STCKR,shakel
24.46981181,39.62686742,61275333,,S-STCKR,shakel
24.44490196,39.62954633,61589408,,S-STCKR,waqas
24.44641888,39.6804179,61274552,,S-STCKR,waqas
24.50187172,39.64425235,61205290,,S-STCKR,shakel
24.52579755,39.64843125,61263444,,S-STCKR,shakel
24.4364294,39.65205878,61238165,,S-STCKR,waqas
24.47734086,39.62779034,58973394,,S-STCKR,shakel
24.43655609,39.67655051,61299983,,S-STCKR,waqas
24.44023358,39.67061471,61299942,,S-STCKR,waqas
24.45046199,39.63737679,61507988,,S-STCKR,waqas
24.45473329,39.67815593,61403896,,S-STCKR,waqas
24.52701872,39.66969612,61287086,,S-STCKR,shakel
24.5356515,39.67892336,65929853,,S-STCKR,shakel
24.4421166,39.65327414,61403824,,S-STCKR,waqas
24.45638906,39.62444086,61508738,,S-STCKR,waqas
24.47732186,39.62793453,58973138,,S-STCKR,shakel
24.5236472,39.6450206,61120055,,S-STCKR,shakel
24.53366717,39.67801336,61406757,,S-STCKR,shakel
24.4484293,39.68402484,61272734,,S-STCKR,waqas
24.50180893,39.64237987,64259846,,S-STCKR,shakel
24.4406318,39.67278901,61456326,,S-STCKR,waqas
24.52669517,39.66763236,61236860,,S-STCKR,shakel
24.52664898,39.64526104,61275344,,S-STCKR,shakel
24.44742399,39.68479293,61272755,,S-STCKR,waqas
24.44710001,39.68614015,61257659,,S-STCKR,waqas
24.47153548,39.62691086,61248888,,S-STCKR,shakel
24.52974527,39.64737182,61272382,,S-STCKR,shakel
24.45823909,39.62251123,61272388,,S-STCKR,waqas
24.44870419,39.6824186,85071848,,S-STCKR,waqas
24.5257912,39.67131442,61342411,,S-STCKR,shakel
24.5341987,39.6767535,61406693,,S-STCKR,shakel
24.49203873,39.66627378,61269269,,S-STCKR,shakel
24.44241964,39.68501109,61299756,,S-STCKR,waqas
24.44652124,39.68248748,61274518,,S-STCKR,waqas
24.44561923,39.68328161,61274505,,S-STCKR,waqas
24.53276305,39.67947258,61406715,,S-STCKR,shakel
24.47824827,39.62848009,61275292,,S-STCKR,shakel
24.53005612,39.67701142,61407435,,S-STCKR,shakel
24.43545196,39.67922449,61299978,,S-STCKR,waqas
24.44626,39.664145,61406635,,S-STCKR,waqas
24.53632917,39.67754684,61406714,,S-STCKR,shakel
24.44549143,39.68329053,61274517,,S-STCKR,waqas
24.47202881,39.62754274,61278850,,S-STCKR,shakel
24.4348239,39.6517348,82832356,,S-STCKR,waqas
24.45085956,39.67815375,61406988,,S-STCKR,waqas
24.45657769,39.62229264,61508651,,S-STCKR,waqas
24.44209735,39.67627191,65098291,,S-STCKR,waqas
24.44608082,39.68163639,64290637,,S-STCKR,waqas
24.45562246,39.6827222,61406980,,S-STCKR,waqas
24.44652939,39.6835552,61456120,,S-STCKR,waqas
24.44629632,39.67664372,61456285,,S-STCKR,waqas
24.45658025,39.6235959,61508633,,S-STCKR,waqas
24.45617454,39.66839616,61457430,,S-STCKR,waqas
24.44145835,39.66630409,61299769,,S-STCKR,waqas
24.44470453,39.65886688,61237599,,S-STCKR,waqas
24.44936483,39.68451016,61456192,,S-STCKR,waqas
24.44523553,39.65431624,61257408,,S-STCKR,waqas
24.46047906,39.61415083,82515818,,S-STCKR,waqas
24.45159611,39.62198442,61508657,,S-STCKR,waqas
24.44450384,39.6628135,61260069,,S-STCKR,waqas
24.44993556,39.62637998,61272474,,S-STCKR,waqas
24.45667066,39.62226902,61509572,,S-STCKR,waqas
24.45480907,39.67371091,84918502,,S-STCKR,waqas
24.4394538,39.66630943,61409136,,S-STCKR,waqas
24.44910643,39.68265335,61456204,,S-STCKR,waqas
24.43985099,39.67538207,61300019,,S-STCKR,waqas
24.44695369,39.68608791,61257666,,S-STCKR,waqas
24.46126416,39.61308525,10111005911,,S-STCKR,waqas
24.44029915,39.67739227,61300101,,S-STCKR,waqas
24.48598153,39.68541406,58845159,,S-STCKR,shakel
24.53257273,39.67673297,61407017,,S-STCKR,shakel
24.4518664,39.68133978,61456086,,S-STCKR,waqas
24.47143184,39.62940703,61248880,,S-STCKR,shakel
24.52378803,39.64888392,61262857,,S-STCKR,shakel
24.47299862,39.62602986,61153969,,S-STCKR,shakel
24.44109779,39.6784229,85071865,,S-STCKR,waqas
24.52606257,39.64232094,61308960,,S-STCKR,shakel
24.52792801,39.67337415,61342779,,S-STCKR,shakel
24.5243733,39.645,61259952,,S-STCKR,shakel
24.52748041,39.67038766,61342914,,S-STCKR,shakel
24.4557068,39.62190712,61272476,,S-STCKR,waqas
24.5403757,39.68865176,61269179,,S-STCKR,shakel
24.52710686,39.67349405,61262659,,S-STCKR,shakel
24.52801541,39.67017737,61287084,,S-STCKR,shakel
24.4362358,39.6764966,85071998,,S-STCKR,waqas
24.43906759,39.68394248,61257642,,S-STCKR,waqas
24.52889077,39.6474376,61263448,,S-STCKR,shakel
24.44104497,39.66693186,61457369,,S-STCKR,waqas
24.53230486,39.67807953,82832341,,S-STCKR,shakel
24.52857926,39.64910497,61272385,,S-STCKR,shakel
24.54717129,39.68520003,61260090,,S-STCKR,shakel
24.53347471,39.67718807,61407046,,S-STCKR,shakel
24.45132409,39.6865795,85071844,,S-STCKR,waqas
24.52520823,39.64919992,61263446,,S-STCKR,shakel
24.45848987,39.62312986,61272471,,S-STCKR,waqas
24.43968481,39.66510528,61402301,,S-STCKR,waqas
24.43982872,39.67882687,85443162,,S-STCKR,waqas
24.45242498,39.68772834,61274452,,S-STCKR,waqas
24.50375441,39.64430887,61249110,,S-STCKR,shakel
24.5233864,39.64984995,61262870,,S-STCKR,shakel
24.52725757,39.66929506,61342864,,S-STCKR,shakel
24.44111364,39.67499903,61402523,,S-STCKR,waqas
24.52455891,39.65068195,61272425,,S-STCKR,shakel
24.473899,39.62525,61153371,,S-STCKR,shakel
24.54571488,39.68917635,61286627,,S-STCKR,shakel
24.47060396,39.6288256,61248898,,S-STCKR,shakel
24.5606082,39.68136706,61205235,,S-STCKR,shakel
24.50345337,39.64174185,61325065,,S-STCKR,shakel
24.5224197,39.647049,85365331,,S-STCKR,shakel
24.55105891,39.68801748,58854965,,S-STCKR,shakel
24.45941582,39.62107729,61272292,,S-STCKR,waqas
24.52412161,39.67043429,61236525,,S-STCKR,shakel
24.53424858,39.67686153,61407617,,S-STCKR,shakel
24.52965084,39.67153839,61287217,,S-STCKR,shakel
24.5256725,39.647502,84756194,,S-STCKR,shakel
24.50415142,39.65067386,64259945,,S-STCKR,shakel
24.44682582,39.68204534,61274534,,S-STCKR,waqas
24.47237775,39.63066587,61153336,,S-STCKR,shakel
24.48893322,39.66265246,58943042,,S-STCKR,shakel
24.49147835,39.67665272,58973228,,S-STCKR,shakel
24.47327889,39.6296462,82919961,,S-STCKR,shakel
24.52932754,39.64568776,61278753,,S-STCKR,shakel
24.54270079,39.68390148,61245312,,S-STCKR,shakel
24.44106464,39.67567153,61274967,,S-STCKR,waqas
24.52656229,39.66938954,65066544,,S-STCKR,shakel
24.4465,39.6821,61701088,,S-STCKR,waqas
24.45946866,39.61205463,64423614,,S-STCKR,waqas
24.45975361,39.62074492,61272291,,S-STCKR,waqas
24.44845997,39.68134424,61272712,,S-STCKR,waqas
24.47409698,39.64019334,58858377,,S-STCKR,shakel
24.52515311,39.64807723,61275078,,S-STCKR,shakel
24.5265872,39.64865225,61275305,,S-STCKR,shakel
24.52637032,39.64861905,61275384,,S-STCKR,shakel
24.45290194,39.62139282,64500203,,S-STCKR,waqas
24.53431873,39.6797212,61407358,,S-STCKR,shakel
24.5394741,39.6839391,82761624,,S-STCKR,shakel
24.47014922,39.62933554,61248893,,S-STCKR,shakel
24.44406166,39.68516733,61274476,,S-STCKR,waqas
24.45119158,39.67841625,61456645,,S-STCKR,waqas
24.45480317,39.67415491,61458163,,S-STCKR,waqas
24.45017255,39.67957579,61257498,,S-STCKR,waqas
24.44893381,39.68255695,61299227,,S-STCKR,waqas
24.49177165,39.675639,58863590,,S-STCKR,shakel
24.45423689,39.6405805,65098243,,S-STCKR,waqas
24.53669143,39.68005229,61409056,,S-STCKR,shakel
24.44765838,39.67746065,64455116,,S-STCKR,waqas
24.47278139,39.64182729,64132281,,S-STCKR,shakel
24.55781126,39.68792928,61286570,,S-STCKR,shakel
24.445885,39.68639861,61690954,,S-STCKR,waqas
24.52598292,39.64731758,61272233,,S-STCKR,shakel
24.470163,39.6269708,61248871,,S-STCKR,shakel
24.47804927,39.62927456,61248573,,S-STCKR,shakel
24.52376769,39.67092591,61259842,,S-STCKR,shakel
24.43910558,39.68282272,61257362,,S-STCKR,waqas
24.43748064,39.67754252,65545264,,S-STCKR,waqas
24.44123748,39.66661539,61299411,,S-STCKR,waqas
24.44020864,39.67233773,61244357,,S-STCKR,waqas
24.44870285,39.68042998,61456075,,S-STCKR,waqas
24.43948956,39.66686626,61409137,,S-STCKR,waqas
24.45005108,39.68112797,61456097,,S-STCKR,waqas
24.43951512,39.6667852,61402237,,S-STCKR,waqas
